iid,gender,pid,match,age,race,imprace,imprelig,from,Income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,Matches no/si efectivos,no,yes,Si saldrian con ellos otravez,no,yes,Rating que obtuvieron de sus dates,Ambitious,Attractive,Fun,Intelligent,Shared Interests/Hobbies,Sincere,like,prob
144,0,158,0,23,2,5,2,PA,29279.00,5,2,research,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,QUE BUSCA ,16,16,16,18,18,16,QUE PIENSA DE SI MISMO,8,9,9,9,9,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,10,6,Rating que obtuvieron de sus dates,6.571428571,6.866666667,7.4,8.2,6.285714286,7.6,6.666666667,5.666666667
145,0,158,0,24,2,9,7,Minnesota,38774.00,7,1,Neuroscientist/Professor,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,QUE BUSCA ,11.36,18.18,22.73,18.18,11.36,18.18,QUE PIENSA DE SI MISMO,7,7,9,7,8,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,11,5,Rating que obtuvieron de sus dates,6.571428571,5.4375,6.0625,7.875,5.4,7.375,5.75,5
146,0,158,0,36,2,1,7,New York,58802.00,7,1,Education,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,QUE BUSCA ,18.18,18.18,18.18,18.18,13.64,13.64,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,11,5,Rating que obtuvieron de sus dates,6.2,5.5,5.375,7.6,5.230769231,7.125,5.5,4.2
147,0,158,0,26,4,3,3,New York,41831.00,5,1,Business,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,QUE BUSCA ,18,18,20,18,16,10,QUE PIENSA DE SI MISMO,8,8,9,9,8,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,6.533333333,6.75,8,7.133333333,5.5,7.125,6.375,5.0625
148,0,158,0,27,4,7,4,"Cherry Hill, NJ",0.00,4,1,Business,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,QUE BUSCA ,15.09,16.98,16.98,18.87,18.87,13.21,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,5,11,Rating que obtuvieron de sus dates,7,7.0625,6.5,7.3125,5.333333333,7,6.6875,4.625
149,0,158,0,28,2,3,3,Minneapolis,52186.00,5,2,Professor and Government Official,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,QUE BUSCA ,8.51,19.15,19.15,19.15,19.15,14.89,QUE PIENSA DE SI MISMO,7,8,8,8,8,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,4,12,Rating que obtuvieron de sus dates,6.857142857,7.3125,6.5,7.4375,6.461538462,7.0625,6.9375,5.0625
150,0,158,0,31,2,3,3,NYC,55080.00,5,2,professor,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,QUE BUSCA ,12,20,20,20,14,14,QUE PIENSA DE SI MISMO,6,9,9,8,7,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,5,11,Rating que obtuvieron de sus dates,7.2,7.25,7.1875,8.375,5.533333333,8.0625,6.875,5.9375
151,0,158,0,28,2,1,2,"ottawa, canada",0.00,3,1,international development work,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,QUE BUSCA ,14.55,16.36,18.18,18.18,16.36,16.36,QUE PIENSA DE SI MISMO,9,9,9,9,8,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,2,14,Rating que obtuvieron de sus dates,6.857142857,8.6875,7.75,7.466666667,6,8.125,7.666666667,5.266666667
152,0,158,0,27,4,2,3,China,0.00,4,3,professor,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,QUE BUSCA ,14,20,20,14,18,14,QUE PIENSA DE SI MISMO,8,7,9,8,8,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,9,7,Rating que obtuvieron de sus dates,6.692307692,7.125,5.6,7.866666667,4.285714286,7.9375,6.125,4.875
153,0,158,0,28,4,1,1,China,0.00,6,3,professor,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,QUE BUSCA ,9.76,19.51,19.51,14.63,19.51,17.07,QUE PIENSA DE SI MISMO,7,7,7,7,7,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,11,5,Rating que obtuvieron de sus dates,6.461538462,6.3125,5.5,7.1875,4.533333333,7.8125,5.6875,4.75
154,0,158,0,27,2,8,3,NYC,97857.00,4,1,finance,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,QUE BUSCA ,15.38,17.31,17.31,17.31,17.31,15.38,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,7,Si saldrian con ellos otravez,3,13,Rating que obtuvieron de sus dates,7.571428571,7.75,7.2,7.5,6,7.75,6.9375,5.3125
155,0,158,0,27,2,5,1,"Philadelphia, PA",74624.00,5,1,Nonprofit,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,QUE BUSCA ,15.09,18.87,18.87,16.98,16.98,13.21,QUE PIENSA DE SI MISMO,7,9,7,6,9,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,7,9,Rating que obtuvieron de sus dates,6.428571429,7.1875,6.733333333,7.0625,5.615384615,7.5,6.625,5.125
156,0,158,0,30,1,1,1,"Atlanta, GA",21590.00,6,3,Marketing and Media,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,QUE BUSCA ,14,18,16,18,18,16,QUE PIENSA DE SI MISMO,8,9,9,9,10,Matches no/si efectivos,12,4,Si saldrian con ellos otravez,6,10,Rating que obtuvieron de sus dates,7.933333333,7,7.125,8,6.285714286,7.875,6.5625,5.25
157,0,158,0,28,4,5,3,Cleveland,38832.00,6,1,Brand Management,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,QUE BUSCA ,14.29,16.33,16.33,18.37,18.37,16.33,QUE PIENSA DE SI MISMO,7,8,8,9,9,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,4,12,Rating que obtuvieron de sus dates,7.692307692,7.625,7.4375,7.375,5.769230769,7.3125,7,4.875
158,1,142,0,23,2,3,4,NYC (Staten Island),37248.00,6,2,"physicist, probably academia",2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,QUE BUSCA ,19.05,19.05,19.05,19.05,9.52,14.29,QUE PIENSA DE SI MISMO,6,9,9,7,6,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,16,1,Rating que obtuvieron de sus dates,6.785714286,4.5625,4.2,7.5,3.818181818,6.25,4.0625,4.625
159,1,142,1,28,2,7,2,Greece,0.00,6,2,Academic,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,QUE BUSCA ,15.91,20.45,20.45,20.45,11.36,11.36,QUE PIENSA DE SI MISMO,7,9,9,8,8,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,14,2,Rating que obtuvieron de sus dates,7.166666667,4.125,5.875,8,4.461538462,7.1875,5.0625,5.066666667
160,1,142,0,29,1,3,4,North Carolina,28240.00,5,2,Real Estate/ Private Equity,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,QUE BUSCA ,16,18,18,18,14,16,QUE PIENSA DE SI MISMO,8,8,8,9,9,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,7.875,7.375,8,7.4375,6.142857143,7.375,6.75,5.9375
161,1,142,0,22,2,6,2,"State College, PA",53771.00,4,2,undecided,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,QUE BUSCA ,16.67,18.75,18.75,18.75,18.75,8.33,QUE PIENSA DE SI MISMO,8,8,10,10,5,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,5,11,Rating que obtuvieron de sus dates,7.285714286,7.75,7.8,8,6.333333333,7.4375,7.25,4.8125
162,1,142,0,27,4,1,1,Canada,0.00,6,2,pharmaceuticals and biotechnology,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,QUE BUSCA ,15.22,15.22,19.57,17.39,13.04,19.57,QUE PIENSA DE SI MISMO,7,7,9,7,8,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,7.2,5.75,5.866666667,7.875,5.846153846,6.75,6,4.3125
163,1,142,0,26,2,1,1,Minnesota,56096.00,3,3,college art teacher,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,QUE BUSCA ,12,20,20,20,16,12,QUE PIENSA DE SI MISMO,7,8,9,8,7,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,7,6.875,7.25,7.6875,6.785714286,7.6875,7.033333333,5.8
164,1,142,0,27,2,1,1,Los Angeles,31560.00,6,2,academic,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,QUE BUSCA ,20.51,23.08,20.51,17.95,2.56,15.38,QUE PIENSA DE SI MISMO,8,9,9,6,3,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,10,6,Rating que obtuvieron de sus dates,6.857142857,6.6875,7,8.125,6.333333333,7.8125,6.8125,5.6875
165,1,142,0,30,2,4,7,Detroit,52467.00,6,3,Writer,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,QUE BUSCA ,16.67,12.5,20.83,18.75,12.5,18.75,QUE PIENSA DE SI MISMO,8,7,9,5,3,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,5.785714286,7.375,5.6,6.8125,5.307692308,7.0625,5.4,4.533333333
166,1,142,0,26,6,1,9,Washington DC Metro Region,80006.00,5,2,Finance,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,QUE BUSCA ,27.78,19.44,19.44,27.78,2.78,2.78,QUE PIENSA DE SI MISMO,7,7,7,7,5,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,7.384615385,6.875,6.3125,7.0625,5.75,6.5625,6,5.1875
167,1,142,1,23,2,1,1,colorado,47572.00,6,2,professor,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,QUE BUSCA ,18.6,13.95,18.6,16.28,16.28,16.28,QUE PIENSA DE SI MISMO,6,5,6,6,4,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,6.5,5.9375,6.75,7.4375,5.714285714,6.8125,5.733333333,4.625
168,1,142,1,23,4,1,1,"Berkeley, CA",22439.00,4,2,TBA,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,QUE BUSCA ,11.11,17.78,17.78,17.78,17.78,17.78,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,13,3,Rating que obtuvieron de sus dates,6.571428571,4.875,6.4,7.6875,5.363636364,7.375,5.6875,5.5
169,1,142,1,28,2,2,3,"Buffalo, NY",31383.00,6,2,"Research scientist, professor",10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,QUE BUSCA ,17.78,20,17.78,15.56,15.56,13.33,QUE PIENSA DE SI MISMO,8,9,8,7,7,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,3,13,Rating que obtuvieron de sus dates,7.571428571,8.0625,7.6875,8.375,6.928571429,8.0625,7.625,5.75
170,1,142,0,28,4,2,1,India,0.00,5,3,Physician Scientist,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,QUE BUSCA ,16.28,20.93,18.6,18.6,13.95,11.63,QUE PIENSA DE SI MISMO,6,8,9,5,8,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,16,1,Rating que obtuvieron de sus dates,7.642857143,4.4375,5,8.125,5.153846154,7.3125,5.5,5
171,1,142,1,29,2,1,1,France,0.00,4,2,Finance,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,QUE BUSCA ,19.57,10.87,19.57,19.57,19.57,10.87,QUE PIENSA DE SI MISMO,10,10,10,10,10,Matches no/si efectivos,12,4,Si saldrian con ellos otravez,11,5,Rating que obtuvieron de sus dates,7.5,5.8125,6,8.1875,5.181818182,7.75,6.4375,5.6875
172,1,142,1,27,2,5,7,"London, England",0.00,3,1,Management Consulting,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,QUE BUSCA ,17.78,17.78,22.22,20,15.56,6.67,QUE PIENSA DE SI MISMO,6,5,8,9,9,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,8.066666667,6.9375,7.625,8.0625,7.272727273,7.9375,7.5,6.466666667
173,1,142,1,22,2,5,7,NJ,0.00,4,1,professor,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,QUE BUSCA ,18.37,18.37,20.41,20.41,16.33,6.12,QUE PIENSA DE SI MISMO,7,8,8,8,8,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,10,6,Rating que obtuvieron de sus dates,7.285714286,6.125,7.4375,8.125,6.818181818,7.4375,6.75,5.875
174,0,184,1,29,4,1,1,Pennsylvania,58802.00,5,3,Finance,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,QUE BUSCA ,9.52,23.81,16.67,16.67,16.67,16.67,QUE PIENSA DE SI MISMO,9,10,7,7,7,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,5.333333333,4.9,5.875,7.222222222,6.375,7.6,5.1,5.9
175,0,184,0,23,6,5,8,Ohio,40749.00,3,1,Business,8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,QUE BUSCA ,12.24,20.41,16.33,14.29,20.41,16.33,QUE PIENSA DE SI MISMO,7,8,7,8,9,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.555555556,5.8,6,7.6,7,7.555555556,5.2,5.5
176,0,184,1,28,4,10,1,California,0.00,6,3,Finance,7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,QUE BUSCA ,13.04,21.74,19.57,17.39,15.22,13.04,QUE PIENSA DE SI MISMO,7,8,8,6,6,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,7.555555556,7.111111111,5.333333333,7.777777778,5.666666667,7.875,5.777777778,5.111111111
177,0,184,0,22,2,8,3,"San Diego, CA",47997.00,5,2,management consulting,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,QUE BUSCA ,15.09,16.98,16.98,16.98,18.87,15.09,QUE PIENSA DE SI MISMO,9,8,9,8,10,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,10,1,Rating que obtuvieron de sus dates,7.333333333,4.9,7,7,5.5,7.125,5.4,6.3
178,0,184,0,35,4,5,5,New York,0.00,4,2,health policy,3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,QUE BUSCA ,15.22,17.39,17.39,17.39,15.22,17.39,QUE PIENSA DE SI MISMO,9,9,9,7,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,6.857142857,4.555555556,6,7.444444444,6.555555556,7.666666667,5.666666667,5.333333333
179,0,184,0,30,3,5,1,California,78704.00,6,3,academics,5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,QUE BUSCA ,19.15,21.28,17.02,17.02,12.77,12.77,QUE PIENSA DE SI MISMO,7,10,9,7,9,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,7.777777778,8,8.2,8.3,6.333333333,7.8,7.4,6.4
180,0,184,1,24,4,2,2,taiwan,0.00,4,2,financial service or fashion,7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,QUE BUSCA ,15.38,17.31,17.31,19.23,13.46,17.31,QUE PIENSA DE SI MISMO,9,8,8,9,6,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,1,9,Rating que obtuvieron de sus dates,7,7.555555556,7.222222222,7.333333333,6.571428571,7.777777778,6.7,6.5
181,0,184,0,22,1,7,8,"Brooklyn, NY",31143.00,5,5,academic research,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,QUE BUSCA ,15.38,19.23,19.23,17.31,17.31,11.54,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,5,5,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,7.25,7.333333333,7,7.5,6,8.444444444,6.333333333,5.666666667
182,0,184,0,22,1,7,5,New Jersey,0.00,4,3,Epidemiologist,5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,QUE BUSCA ,16.07,17.86,17.86,17.86,17.86,12.5,QUE PIENSA DE SI MISMO,8,8,9,9,9,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,7.5,5.222222222,6.666666667,7.333333333,5,7.555555556,5.8,5.2
183,0,184,1,24,2,1,1,Uzbekistan,0.00,7,3,boxing champ,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,QUE BUSCA ,20,22.5,17.5,22.5,10,7.5,QUE PIENSA DE SI MISMO,9,8,8,9,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,6,6.1,6.2,6.888888889,5.4,6.777777778,5.5,5.4
184,1,174,1,34,2,1,1,Nebraska,32129.00,4,2,International Business,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,QUE BUSCA ,16.67,16.67,16.67,16.67,16.67,16.67,QUE PIENSA DE SI MISMO,6,10,9,7,5,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,7.111111111,6.2,6.5,7.3,6.4,7.5,6.3,5.7
185,1,174,0,25,4,3,4,Queens,0.00,7,4,Paper Back Writer,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,QUE BUSCA ,16.98,15.09,16.98,16.98,18.87,15.09,QUE PIENSA DE SI MISMO,9,8,8,7,7,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,6.333333333,5,5.4,6.2,4.75,5.8,4.4,4.7
186,1,174,0,24,4,4,3,Kansas,44195.00,7,3,Professor,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,QUE BUSCA ,19.44,19.44,22.22,16.67,11.11,11.11,QUE PIENSA DE SI MISMO,4,9,7,5,6,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.555555556,5.3,6,7.6,5.888888889,7.3,5.9,6
187,1,174,1,26,2,10,5,nyc,0.00,4,1,finance,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,QUE BUSCA ,16.98,16.98,18.87,16.98,13.21,16.98,QUE PIENSA DE SI MISMO,8,9,10,8,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,9,1,Rating que obtuvieron de sus dates,5.75,4.7,5.6,6.2,5.888888889,6,4.8,5
188,1,174,0,21,2,1,1,Atlanta,46837.00,3,1,academician,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,QUE BUSCA ,15.56,11.11,22.22,15.56,20,15.56,QUE PIENSA DE SI MISMO,7,6,9,7,9,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,6.444444444,4.4,6.1,6.5,5.333333333,6.3,5.3,5.3
189,1,174,0,27,6,6,1,Uruguay,0.00,6,2,Child Rights,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,QUE BUSCA ,16.98,16.98,16.98,16.98,16.98,15.09,QUE PIENSA DE SI MISMO,8,8,8,8,9,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.444444444,5.4,5.8,7,5.777777778,7.2,5.6,5.2
190,1,174,0,25,2,1,1,Azerbaijan,0.00,7,3,Development work on field in the middle of nowhere,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,QUE BUSCA ,15.56,20,20,20,13.33,11.11,QUE PIENSA DE SI MISMO,6,7,8,9,6,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,6.7,6.7,7.9,6.9,5.777777778,6.5,6.8,5.6
191,1,174,0,28,2,6,1,Connecticut,0.00,4,2,Private Equity,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,QUE BUSCA ,20.45,20.45,20.45,18.18,18.18,2.27,QUE PIENSA DE SI MISMO,7,6,8,7,8,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,7.5,6.5,7.2,7.2,6.444444444,7.2,6.6,6.3
192,1,174,0,24,2,2,7,"Los Angeles, CA",97972.00,6,2,Investment Management,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,QUE BUSCA ,19.57,19.57,15.22,17.39,15.22,13.04,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,7.111111111,6.5,7.5,7.2,7.444444444,6.5,6.8,5.6
193,1,174,0,25,4,2,2,new york city,35960.00,6,2,lawyer,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,QUE BUSCA ,20.93,16.28,23.26,16.28,11.63,11.63,QUE PIENSA DE SI MISMO,7,8,10,7,8,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,7.333333333,6.1,7.111111111,7.5,6.444444444,7.2,6.7,6.2
194,0,214,0,24,2,9,9,New York,65708.00,3,2,Psychologist,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,QUE BUSCA ,16,16,20,16,18,14,QUE PIENSA DE SI MISMO,10,10,10,8,10,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,17,3,Rating que obtuvieron de sus dates,5.4,4.55,4.95,5.947368421,4.210526316,5.85,4.5,4.05
195,0,214,0,27,2,3,9,"Rochester, NY",49466.00,2,1,professional student,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,QUE BUSCA ,15.38,19.23,19.23,19.23,13.46,13.46,QUE PIENSA DE SI MISMO,9,7,9,8,7,Matches no/si efectivos,15,5,Si saldrian con ellos otravez,4,16,Rating que obtuvieron de sus dates,5.9,6.65,7.2,7.5,5.842105263,7,6.65,5.5
196,0,214,1,25,4,1,6,"Taipei, Taiwan",0.00,1,1,education,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,QUE BUSCA ,17.65,17.65,17.65,15.69,15.69,15.69,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,18,2,Si saldrian con ellos otravez,12,8,Rating que obtuvieron de sus dates,5.25,6.35,4.75,6.65,4.473684211,6.95,5.25,4.45
197,0,214,0,24,6,2,1,Berkeley,53229.00,4,3,Development work,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,QUE BUSCA ,14,18,20,18,16,14,QUE PIENSA DE SI MISMO,7,8,9,8,7,Matches no/si efectivos,17,3,Si saldrian con ellos otravez,4,16,Rating que obtuvieron de sus dates,6.5,6.85,6.45,7.3,5.894736842,6.95,6.6,5.85
198,0,214,0,23,4,8,5,China,0.00,2,3,investment banking,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,QUE BUSCA ,15.38,19.23,17.31,19.23,9.62,19.23,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,20,1,Si saldrian con ellos otravez,17,3,Rating que obtuvieron de sus dates,5.6,4.6,4.5,6.35,3.894736842,6.6,4.3,4.45
199,0,214,0,30,2,2,1,New York,32649.00,5,3,Historian,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,QUE BUSCA ,17.5,17.5,20,12.5,20,12.5,QUE PIENSA DE SI MISMO,9,6,9,5,9,Matches no/si efectivos,15,5,Si saldrian con ellos otravez,5,15,Rating que obtuvieron de sus dates,6.15,7.3,6.05,6.8,5.578947368,5.85,6.2,5.2
200,0,214,0,25,2,1,1,Northern California,35867.00,7,2,International Development,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,QUE BUSCA ,13.21,18.87,18.87,16.98,16.98,15.09,QUE PIENSA DE SI MISMO,8,10,8,8,9,Matches no/si efectivos,17,3,Si saldrian con ellos otravez,3,17,Rating que obtuvieron de sus dates,7.05,7.55,6.8,7.1,6.166666667,7.05,7.052631579,5.631578947
201,0,214,0,25,2,8,8,New York,0.00,4,2,Business,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,QUE BUSCA ,15.38,17.31,17.31,17.31,17.31,15.38,QUE PIENSA DE SI MISMO,8,7,9,9,7,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,13,7,Rating que obtuvieron de sus dates,6.45,6.6,6.45,7.35,5.631578947,7.3,6.2,5.7
202,0,214,0,22,2,8,5,"Silver Spring, MD",40244.00,6,2,college professor,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,QUE BUSCA ,15.38,19.23,19.23,19.23,15.38,11.54,QUE PIENSA DE SI MISMO,8,10,10,9,8,Matches no/si efectivos,18,2,Si saldrian con ellos otravez,9,11,Rating que obtuvieron de sus dates,6.5,5.75,6.05,7.65,4.947368421,6.95,5.65,5.4
203,0,214,0,22,2,4,10,Vestal,42640.00,6,2,college professor,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,QUE BUSCA ,16,20,18,20,18,8,QUE PIENSA DE SI MISMO,10,7,10,10,10,Matches no/si efectivos,20,1,Si saldrian con ellos otravez,5,15,Rating que obtuvieron de sus dates,6.3,6.95,6.4,8,5.789473684,7.4,6.8,5.6
204,0,214,0,26,2,8,6,Texas & Boston,52388.00,5,1,marketing / brand management,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,QUE BUSCA ,19.61,15.69,17.65,15.69,17.65,13.73,QUE PIENSA DE SI MISMO,10,8,10,9,8,Matches no/si efectivos,20,1,Si saldrian con ellos otravez,12,8,Rating que obtuvieron de sus dates,6.9,5.75,6.4,6.5,4.842105263,6.1,5.25,5.15
205,0,214,0,23,2,5,5,England,0.00,7,1,academic,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,QUE BUSCA ,15.38,17.31,19.23,19.23,11.54,17.31,QUE PIENSA DE SI MISMO,8,7,10,10,7,Matches no/si efectivos,18,2,Si saldrian con ellos otravez,7,13,Rating que obtuvieron de sus dates,5.95,6.25,5.8,6.85,5,6.55,5.75,4.8
206,0,214,0,31,1,2,2,Cameroon,0.00,5,1,UN Civil Servant,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,QUE BUSCA ,14.58,16.67,20.83,18.75,16.67,12.5,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,12,8,Si saldrian con ellos otravez,11,9,Rating que obtuvieron de sus dates,6.7,5.95,6.5,7.65,5.789473684,7.55,6.3,5.45
207,0,214,0,23,2,9,5,New Jersey,0.00,3,1,IP Law,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,QUE BUSCA ,17.31,13.46,17.31,19.23,19.23,13.46,QUE PIENSA DE SI MISMO,9,7,9,10,9,Matches no/si efectivos,17,3,Si saldrian con ellos otravez,1,19,Rating que obtuvieron de sus dates,6.85,8.45,8.15,6.8,6.052631579,6.65,7.55,5.55
